-2589-02-22,-11.0111,4.5111,54.9877,True,0.0000,-67.1843,22.4323,248.6187,33.5952,246.0682,34.6037,236.8432,53.3645,258.3727,-27.4899,109.1681,70.9329,259.3166,-35.2218,236.3729,54.8396,235.6360,5.3537,175.5954,38.8238,349.4418,-16.0177,37456.3626
-2589-02-23,-10.0580,3.5580,54.9877,True,0.0000,-54.5284,14.2347,248.4533,34.6107,245.8970,35.2230,236.7632,53.5040,258.3636,-27.4544,109.1893,70.9448,258.8631,-33.8044,236.3551,54.8681,235.6332,5.3741,175.5954,38.8237,349.4417,-16.0177,37415.2824
-2589-02-24,-9.1053,2.6053,54.9877,True,0.0000,-41.8971,7.7518,248.2862,35.6203,245.7232,35.8419,236.6815,53.6452,258.3545,-27.4190,109.2072,70.9553,258.4252,-32.3560,236.3369,54.8973,235.6303,5.3945,175.5954,38.8237,349.4415,-16.0177,37373.5639
-2589-02-25,-8.1531,1.6531,54.9877,True,0.0000,-29.3757,3.1765,248.1172,36.6239,245.5466,36.4604,236.5980,53.7881,258.3454,-27.3838,109.2219,70.9643,258.0019,-30.8771,236.3181,54.9271,235.6273,5.4151,175.5955,38.8237,349.4413,-16.0178,37331.1830
-2589-02-26,-7.2012,0.7012,54.9877,True,0.0000,-16.9844,0.6066,247.9462,37.6214,245.3671,37.0786,236.5128,53.9328,258.3364,-27.3488,109.2334,70.9720,257.5926,-29.3682,236.2989,54.9576,235.6241,5.4357,175.5955,38.8237,349.4412,-16.0178,37288.1145
-2589-02-27,-6.2499,0.2501,54.9877,True,0.0000,-4.7274,0.0501,247.7730,38.6124,245.1847,37.6964,236.4258,54.0791,258.3274,-27.3139,109.2417,70.9782,257.1963,-27.8293,236.2791,54.9888,235.6209,5.4564,175.5955,38.8237,349.4410,-16.0178,37244.3326
-2589-02-28,-5.2990,1.2010,54.9877,True,0.0000,7.5124,1.4361,247.5975,39.5968,244.9992,38.3137,236.3371,54.2271,258.3184,-27.2792,109.2467,70.9831,256.8124,-26.2609,236.2589,55.0207,235.6175,5.4772,175.5955,38.8237,349.4409,-16.0178,37199.8105
-2589-03-01,-4.3486,2.1514,54.9877,True,0.0000,19.4492,4.6303,247.4196,40.5743,244.8105,38.9307,236.2465,54.3767,258.3095,-27.2447,109.2485,70.9865,256.4401,-24.6630,236.2382,55.0532,235.6140,5.4980,175.5955,38.8237,349.4407,-16.0178,37154.5204
-2589-03-02,-3.3987,3.1013,54.9877,True,0.0000,31.3329,9.4541,247.2392,41.5448,244.6185,39.5472,236.1541,54.5279,258.3006,-27.2104,109.2470,70.9885,256.0786,-23.0358,236.2171,55.0864,235.6104,5.5188,175.5955,38.8237,349.4405,-16.0178,37108.4334
-2589-09-11,-3.4621,3.0379,54.9887,True,0.0000,60.1321,76.9177,81.8293,36.1798,75.6550,15.6983,149.1025,77.9902,258.3253,-27.8199,89.8646,55.1603,74.4146,-4.6369,230.5005,62.0707,234.7786,6.2230,175.5911,38.8324,349.4394,-16.0087,-3442.8102
-2589-09-12,-4.4449,2.0551,54.9885,True,0.0000,71.6170,68.5714,81.4085,35.0472,75.5183,15.0480,148.7509,77.9728,258.3309,-27.8418,89.8136,55.0848,74.3504,-3.3116,230.5138,62.0574,234.7826,6.2057,175.5908,38.8324,349.4394,-16.0087,-3475.6132
-2589-09-13,-5.4283,1.0717,54.9884,True,0.0000,81.7644,59.5466,80.9997,33.9110,75.3822,14.3974,148.4137,77.9558,258.3365,-27.8633,89.7636,55.0104,74.2673,-2.0204,230.5279,62.0433,234.7866,6.1885,175.5906,38.8324,349.4394,-16.0087,-3508.2646
-2589-09-14,-6.4122,0.0878,54.9882,True,0.0000,80.7576,50.0875,80.6020,32.7712,75.2468,13.7465,148.0908,77.9391,258.3419,-27.8845,89.7145,54.9373,74.1644,-0.1994,230.5427,62.0285,234.7908,6.1712,175.5904,38.8324,349.4395,-16.0087,-3540.7743
-2589-09-15,-7.3967,0.8967,54.9880,True,0.0000,69.9525,40.4574,80.2149,31.6281,75.1119,13.0953,147.7823,77.9228,258.3473,-27.9053,89.6663,54.8654,74.0416,0.7332,230.5583,62.0129,234.7951,6.1539,175.5902,38.8324,349.4396,-16.0087,-3573.1520
-2589-09-16,-8.3816,1.8816,54.9879,True,0.0000,57.8108,30.9594,79.8376,30.4818,74.9775,12.4439,147.4883,77.9071,258.3526,-27.9258,89.6191,54.7947,73.8991,1.5947,230.5746,61.9966,234.7995,6.1366,175.5900,38.8324,349.4396,-16.0087,-3605.4075
-2589-09-17,-9.3670,2.8670,54.9877,True,0.0000,45.1231,21.9557,79.4695,29.3323,74.8435,11.7923,147.2087,77.8918,258.3579,-27.9460,89.5727,54.7253,73.7382,2.3311,230.5917,61.9796,234.8040,6.1194,175.5897,38.8324,349.4396,-16.0087,-3637.5503
-2589-09-18,-10.3528,3.8528,54.9875,True,0.0000,31.9852,13.8785,79.1102,28.1800,74.7100,11.1405,146.9437,77.8772,258.3630,-27.9657,89.5274,54.6573,73.5603,2.9073,230.6095,61.9619,234.8086,6.1021,175.5895,38.8324,349.4397,-16.0088,-3669.5895
-2589-09-19,-11.3391,4.8391,54.9874,True,0.0000,18.4323,7.2222,78.7590,27.0248,74.5769,10.4887,146.6932,77.8632,258.3681,-27.9851,89.4829,54.5905,73.3674,3.3050,230.6280,61.9434,234.8133,6.0849,175.5893,38.8325,349.4397,-16.0088,-3701.5342
-2589-09-20,-12.3257,5.8257,54.9872,True,0.0000,4.5947,2.5061,78.4154,25.8670,74.4442,9.8369,146.4573,77.8499,258.3731,-28.0041,89.4394,54.5251,73.1615,3.5175,230.6473,61.9242,234.8181,6.0678,175.5891,38.8325,349.4398,-16.0088,-3733.3926
-2589-09-21,-13.3127,6.8127,54.9871,True,0.0000,-9.8505,0.2027,78.0790,24.7067,74.3118,9.1853,146.2360,77.8373,258.3780,-28.0228,89.3969,54.4610,72.9448,3.5466,230.6672,61.9043,234.8230,6.0506,175.5888,38.8325,349.4398,-16.0088,-3765.1730
-2589-09-22,-14.3000,7.8000,54.9869,True,0.0000,-24.3261,0.6429,77.7494,23.5440,74.1797,8.5339,146.0293,77.8254,258.3828,-28.0410,89.3553,54.3984,72.7193,3.4000,230.6877,61.8837,234.8280,6.0335,175.5886,38.8325,349.4398,-16.0089,-3796.8829
-2589-09-23,-15.2875,8.7875,54.9867,True,0.0000,-38.8655,3.9281,77.4261,22.3791,74.0478,7.8830,145.8373,77.8144,258.3875,-28.0588,89.3146,54.3370,72.4871,3.0902,230.7090,61.8625,234.8331,6.0165,175.5884,38.8325,349.4399,-16.0089,-3828.5298
-2589-09-24,-16.2753,9.7753,54.9866,True,0.0000,-53.3068,9.8857,77.1087,21.2121,73.9162,7.2328,145.6598,77.8042,258.3922,-28.0761,89.2749,54.2772,72.2498,2.6328,230.7309,61.8405,234.8383,5.9995,175.5882,38.8325,349.4399,-16.0089,-3860.1215
-2589-09-25,-17.2632,10.7632,54.9864,True,0.0000,-67.4178,18.0914,76.7968,20.0431,73.7847,6.5834,145.4970,77.7949,258.3967,-28.0931,89.2362,54.2187,72.0090,2.0469,230.7534,61.8179,234.8436,5.9826,175.5879,38.8324,349.4399,-16.0089,-3891.6660
-2589-09-26,-18.2513,11.7513,54.9862,True,0.0000,-80.2959,27.9470,76.4900,18.8722,73.6535,5.9354,145.3488,77.7864,258.4012,-28.1096,89.1984,54.1616,71.7657,1.3556,230.7766,61.7946,234.8490,5.9657,175.5877,38.8324,349.4400,-16.0089,-3923.1719
-2589-09-27,-19.2395,12.7395,54.9860,True,0.0000,-81.0979,38.7821,76.1881,17.6997,73.5223,5.2890,145.2151,77.7789,258.4056,-28.1256,89.1616,54.1060,71.5210,0.5875,230.8004,61.7707,234.8545,5.9490,175.5875,38.8324,349.4400,-16.0089,-3954.6482
-2589-09-28,-20.2277,13.7277,54.9859,True,0.0000,-68.9776,49.9410,75.8906,16.5255,73.3912,4.6450,145.0960,77.7724,258.4098,-28.1412,89.1257,54.0519,71.2755,-0.2230,230.8248,61.7462,234.8601,5.9323,175.5873,38.8324,349.4401,-16.0089,-3986.1040
-2589-09-29,-21.2160,14.7160,54.9857,True,0.0000,-55.9476,60.8384,75.5972,15.3500,73.2602,4.0041,144.9914,77.7669,258.4140,-28.1564,89.0908,53.9992,71.0298,-1.8868,230.8498,61.7210,234.8657,5.9158,175.5871,38.8324,349.4401,-16.0089,-4017.5481
-2589-09-30,-22.2042,15.7042,54.9855,True,0.0000,-42.9640,70.9821,75.3077,14.1733,73.1292,3.3676,144.9015,77.7623,258.4181,-28.1711,89.0568,53.9481,70.7842,-3.0163,230.8755,61.6952,234.8714,5.8993,175.5869,38.8324,349.4402,-16.0090,-4048.9893
-2589-10-01,-23.1892,16.6892,54.9890,True,0.0000,-30.1339,79.9758,75.0235,12.9991,73.0002,2.7403,144.8418,77.7609,258.4237,-28.1889,89.0257,53.9020,70.5408,-4.2075,230.9079,61.6661,234.8796,5.8800,175.5917,38.8327,349.4433,-16.0097,-4079.9465
-2589-10-02,-24.1774,17.6774,54.9888,True,0.0000,-17.4585,87.5132,74.7407,11.8206,72.8691,2.1178,144.7810,77.7584,258.4276,-28.2026,88.9936,53.8539,70.2956,-5.4579,230.9347,61.6391,234.8854,5.8638,175.5915,38.8327,349.4434,-16.0097,-4111.4041
-2589-10-03,-25.1656,18.6656,54.9886,True,0.0000,-4.9316,93.3712,74.4609,10.6418,72.7380,1.5067,144.7348,77.7570,258.4313,-28.2159,88.9624,53.8073,70.0505,-6.7559,230.9619,61.6115,234.8914,5.8477,175.5912,38.8327,349.4434,-16.0098,-4142.8835
-2589-10-04,-26.1537,19.6537,54.9885,True,0.0000,7.5702,97.4055,74.1838,9.4632,72.6067,0.9110,144.7032,77.7566,258.4349,-28.2287,88.9322,53.7622,69.8053,-8.0943,230.9897,61.5834,234.8974,5.8316,175.5910,38.8327,349.4434,-16.0098,-4174.3927
-2589-10-05,-27.1418,20.6418,54.9883,True,0.0000,19.7588,99.5469,73.9090,8.2853,72.4753,0.3355,144.6863,77.7573,258.4384,-28.2410,88.9029,53.7187,69.5599,-9.4669,231.0179,61.5547,234.9035,5.8157,175.5908,38.8327,349.4434,-16.0098,-4205.9398
