Year,Theory,Status,Deviation,Metric_Value
-12897,Orion,FAIL,4.1925,13.5225
-12897,Leo,FAIL,18.2646,108.2646
-12897,King_Shaft,FAIL,32.4696,12.5304
-12897,Queen_Shaft,FAIL,33.2786,1.7214
-12897,North_Shaft,FAIL,44.7331,-12.2331
-12896,Orion,FAIL,4.1929,13.5229
-12896,Leo,FAIL,17.5662,107.5662
-12896,King_Shaft,FAIL,32.4754,12.5246
-12896,Queen_Shaft,FAIL,33.2754,1.7246
-12896,North_Shaft,FAIL,44.7279,-12.2279
-12895,Orion,FAIL,4.1905,13.5205
-12895,Leo,FAIL,17.6369,107.6369
-12895,King_Shaft,FAIL,32.4756,12.5244
-12895,Queen_Shaft,FAIL,33.2751,1.7249
-12895,North_Shaft,FAIL,44.7275,-12.2275
-12894,Orion,FAIL,4.1880,13.5180
-12894,Leo,FAIL,17.7079,107.7079
-12894,King_Shaft,FAIL,32.4761,12.5239
-12894,Queen_Shaft,FAIL,33.2752,1.7248
-12894,North_Shaft,FAIL,44.7271,-12.2271
-12893,Orion,FAIL,4.1850,13.5150
-12893,Leo,FAIL,17.7792,107.7792
-12893,King_Shaft,FAIL,32.4769,12.5231
-12893,Queen_Shaft,FAIL,33.2757,1.7243
-12893,North_Shaft,FAIL,44.7267,-12.2267
-12892,Orion,FAIL,4.1846,13.5146
-12892,Leo,FAIL,18.3458,108.3458
-12892,King_Shaft,FAIL,32.4792,12.5208
-12892,Queen_Shaft,FAIL,33.2818,1.7182
-12892,North_Shaft,FAIL,44.7247,-12.2247
-12891,Orion,FAIL,4.1831,13.5131
-12891,Leo,FAIL,18.4181,108.4181
-12891,King_Shaft,FAIL,32.4824,12.5176
